Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family_size
0,3,male,22,7.25,S,Mr,Small
1,1,female,38,71.2833,C,Mrs,Small
1,3,female,26,7.925,S,Miss,Alone
1,1,female,35,53.1,S,Mrs,Small
0,3,male,35,8.05,S,Mr,Alone
0,3,male,28,8.4583,Q,Mr,Alone
0,1,male,54,51.8625,S,Mr,Alone
0,3,male,2,21.075,S,Master,Large
1,3,female,27,11.1333,S,Mrs,Small
1,2,female,14,30.0708,C,Mrs,Small
1,3,female,4,16.7,S,Miss,Small
1,1,female,58,26.55,S,Miss,Alone
0,3,male,20,8.05,S,Mr,Alone
0,3,male,39,31.275,S,Mr,Large
0,3,female,14,7.8542,S,Miss,Alone
1,2,female,55,16.0,S,Mrs,Alone
0,3,male,2,29.125,Q,Master,Large
1,2,male,28,13.0,S,Mr,Alone
0,3,female,31,18.0,S,Mrs,Small
1,3,female,28,7.225,C,Mrs,Alone
0,2,male,35,26.0,S,Mr,Alone
1,2,male,34,13.0,S,Mr,Alone
1,3,female,15,8.0292,Q,Miss,Alone
1,1,male,28,35.5,S,Mr,Alone
0,3,female,8,21.075,S,Miss,Large
1,3,female,38,31.3875,S,Mrs,Large
0,3,male,28,7.225,C,Mr,Alone
0,1,male,19,263.0,S,Mr,Large
1,3,female,28,7.8792,Q,Miss,Alone
0,3,male,28,7.8958,S,Mr,Alone
0,1,male,40,27.7208,C,Other,Alone
1,1,female,28,146.5208,C,Mrs,Small
1,3,female,28,7.75,Q,Miss,Alone
0,2,male,66,10.5,S,Mr,Alone
0,1,male,28,82.1708,C,Mr,Small
0,1,male,42,52.0,S,Mr,Small
1,3,male,28,7.2292,C,Mr,Alone
0,3,male,21,8.05,S,Mr,Alone
0,3,female,18,18.0,S,Miss,Small
1,3,female,14,11.2417,C,Miss,Small
0,3,female,40,9.475,S,Mrs,Small
0,2,female,27,21.0,S,Mrs,Small
0,3,male,28,7.8958,C,Mr,Alone
1,2,female,3,41.5792,C,Miss,Small
1,3,female,19,7.8792,Q,Miss,Alone
0,3,male,28,8.05,S,Mr,Alone
0,3,male,28,15.5,Q,Mr,Small
1,3,female,28,7.75,Q,Miss,Alone
0,3,male,28,21.6792,C,Mr,Small
0,3,female,18,17.8,S,Mrs,Small
0,3,male,7,39.6875,S,Master,Large
0,3,male,21,7.8,S,Mr,Alone
1,1,female,49,76.7292,C,Mrs,Small
1,2,female,29,26.0,S,Mrs,Small
0,1,male,65,61.9792,C,Mr,Small
1,1,male,28,35.5,S,Mr,Alone
1,2,female,21,10.5,S,Miss,Alone
0,3,male,28,7.2292,C,Mr,Alone
1,2,female,5,27.75,S,Miss,Small
0,3,male,11,46.9,S,Master,Large
0,3,male,22,7.2292,C,Mr,Alone
1,1,female,38,80.0,S,Miss,Alone
0,1,male,45,83.475,S,Mr,Small
0,3,male,4,27.9,S,Master,Large
0,1,male,28,27.7208,C,Mr,Alone
1,3,male,28,15.2458,C,Master,Small
1,2,female,29,10.5,S,Mrs,Alone
0,3,male,19,8.1583,S,Mr,Alone
1,3,female,17,7.925,S,Miss,Large
0,3,male,26,8.6625,S,Mr,Small
0,2,male,32,10.5,S,Mr,Alone
0,3,female,16,46.9,S,Miss,Large
0,2,male,21,73.5,S,Mr,Alone
0,3,male,26,14.4542,C,Mr,Small
1,3,male,32,56.4958,S,Mr,Alone
0,3,male,25,7.65,S,Mr,Alone
0,3,male,28,7.8958,S,Mr,Alone
0,3,male,28,8.05,S,Mr,Alone
1,2,male,0,29.0,S,Master,Small
1,3,female,30,12.475,S,Miss,Alone
0,3,male,22,9.0,S,Mr,Alone
1,3,male,29,9.5,S,Mr,Alone
1,3,female,28,7.7875,Q,Miss,Alone
0,1,male,28,47.1,S,Mr,Alone
1,2,female,17,10.5,S,Miss,Alone
1,3,female,33,15.85,S,Mrs,Small
0,3,male,16,34.375,S,Mr,Large
0,3,male,28,8.05,S,Mr,Alone
1,1,female,23,263.0,S,Miss,Large
0,3,male,24,8.05,S,Mr,Alone
0,3,male,29,8.05,S,Mr,Alone
0,3,male,20,7.8542,S,Mr,Alone
0,1,male,46,61.175,S,Mr,Small
0,3,male,26,20.575,S,Mr,Small
0,3,male,59,7.25,S,Mr,Alone
0,3,male,28,8.05,S,Mr,Alone
0,1,male,71,34.6542,C,Mr,Alone
1,1,male,23,63.3583,C,Mr,Small
1,2,female,34,23.0,S,Mrs,Small
0,2,male,34,26.0,S,Mr,Small
0,3,female,28,7.8958,S,Miss,Alone
0,3,male,28,7.8958,S,Mr,Alone
0,1,male,21,77.2875,S,Mr,Small
0,3,male,33,8.6542,S,Mr,Alone
0,3,male,37,7.925,S,Mr,Small
0,3,male,28,7.8958,S,Mr,Alone
1,3,female,21,7.65,S,Miss,Alone
1,3,male,28,7.775,S,Mr,Alone
0,3,male,38,7.8958,S,Mr,Alone
1,3,female,28,24.15,Q,Miss,Small
0,1,male,47,52.0,S,Mr,Alone
0,3,female,14,14.4542,C,Miss,Small
0,3,male,22,8.05,S,Mr,Alone
0,3,female,20,9.825,S,Miss,Small
0,3,female,17,14.4583,C,Miss,Alone
0,3,male,21,7.925,S,Mr,Alone
0,3,male,70,7.75,Q,Mr,Alone
0,2,male,29,21.0,S,Mr,Small
0,1,male,24,247.5208,C,Mr,Small
0,3,female,2,31.275,S,Miss,Large
0,2,male,21,73.5,S,Mr,Small
0,3,male,28,8.05,S,Mr,Alone
0,2,male,32,30.0708,C,Mr,Small
1,2,female,32,13.0,S,Miss,Alone
0,1,male,54,77.2875,S,Mr,Small
1,3,male,12,11.2417,C,Master,Small
0,3,male,28,7.75,Q,Mr,Alone
1,3,male,24,7.1417,S,Mr,Alone
1,3,female,28,22.3583,C,Miss,Small
0,3,male,45,6.975,S,Mr,Alone
0,3,male,33,7.8958,C,Mr,Alone
0,3,male,20,7.05,S,Mr,Alone
0,3,female,47,14.5,S,Mrs,Small
1,2,female,29,26.0,S,Mrs,Small
0,2,male,25,13.0,S,Mr,Alone
0,2,male,23,15.0458,C,Mr,Alone
1,1,female,19,26.2833,S,Miss,Small
0,1,male,37,53.1,S,Mr,Small
0,3,male,16,9.2167,S,Mr,Alone
0,1,male,24,79.2,C,Mr,Alone
0,3,female,28,15.2458,C,Mrs,Small
1,3,female,22,7.75,S,Miss,Alone
1,3,female,24,15.85,S,Mrs,Small
0,3,male,19,6.75,Q,Mr,Alone
0,2,male,18,11.5,S,Mr,Alone
0,2,male,19,36.75,S,Mr,Small
1,3,male,27,7.7958,S,Mr,Alone
0,3,female,9,34.375,S,Miss,Large
0,2,male,36,26.0,S,Mr,Small
0,2,male,42,13.0,S,Other,Alone
0,2,male,51,12.525,S,Other,Alone
1,1,female,22,66.6,S,Mrs,Small
0,3,male,55,8.05,S,Mr,Alone
0,3,male,40,14.5,S,Mr,Small
0,3,male,28,7.3125,S,Mr,Alone
0,1,male,51,61.3792,C,Mr,Small
1,3,female,16,7.7333,Q,Miss,Alone
0,3,male,30,8.05,S,Mr,Alone
0,3,male,28,8.6625,S,Mr,Alone
0,3,male,28,69.55,S,Master,Large
0,3,male,44,16.1,S,Mr,Small
1,2,female,40,15.75,S,Mrs,Alone
0,3,male,26,7.775,S,Mr,Alone
0,3,male,17,8.6625,S,Mr,Alone
0,3,male,1,39.6875,S,Master,Large
1,3,male,9,20.525,S,Master,Small
1,1,female,28,55.0,S,Mrs,Small
0,3,female,45,27.9,S,Mrs,Large
0,1,male,28,25.925,S,Mr,Alone
0,3,male,28,56.4958,S,Mr,Alone
0,1,male,61,33.5,S,Mr,Alone
0,3,male,4,29.125,Q,Master,Large
1,3,female,1,11.1333,S,Miss,Small
0,3,male,21,7.925,S,Mr,Alone
0,1,male,56,30.6958,C,Mr,Alone
0,3,male,18,7.8542,S,Mr,Small
0,3,male,28,25.4667,S,Master,Large
0,1,female,50,28.7125,C,Miss,Alone
0,2,male,30,13.0,S,Mr,Alone
0,3,male,36,0.0,S,Mr,Alone
0,3,female,28,69.55,S,Miss,Large
0,2,male,28,15.05,C,Mr,Alone
0,3,male,9,31.3875,S,Master,Large
1,2,male,1,39.0,S,Master,Small
1,3,female,4,22.025,S,Miss,Small
0,1,male,28,50.0,S,Mr,Alone
1,3,female,28,15.5,Q,Mrs,Small
1,1,male,45,26.55,S,Mr,Alone
0,3,male,40,15.5,Q,Mr,Small
0,3,male,36,7.8958,S,Mr,Alone
1,2,female,32,13.0,S,Mrs,Alone
0,2,male,19,13.0,S,Mr,Alone
1,3,female,19,7.8542,S,Miss,Small
1,2,male,3,26.0,S,Master,Small
1,1,female,44,27.7208,C,Mrs,Alone
1,1,female,58,146.5208,C,Miss,Alone
0,3,male,28,7.75,Q,Mr,Alone
0,3,male,42,8.4042,S,Mr,Small
1,3,female,28,7.75,Q,Miss,Alone
0,2,female,24,13.0,S,Miss,Alone
0,3,male,28,9.5,S,Mr,Alone
0,3,male,28,69.55,S,Mr,Large
0,3,male,34,6.4958,S,Mr,Alone
0,3,male,45,7.225,C,Mr,Alone
1,3,male,18,8.05,S,Mr,Alone
0,3,female,2,10.4625,S,Miss,Small
0,3,male,32,15.85,S,Mr,Small
1,3,male,26,18.7875,C,Mr,Alone
1,3,female,16,7.75,Q,Miss,Alone
1,1,male,40,31.0,C,Mr,Alone
0,3,male,24,7.05,S,Mr,Alone
1,2,female,35,21.0,S,Miss,Alone
0,3,male,22,7.25,S,Mr,Alone
0,2,male,30,13.0,S,Mr,Alone
0,3,male,28,7.75,Q,Mr,Small
1,1,female,31,113.275,C,Miss,Small
1,3,female,27,7.925,S,Miss,Alone
0,2,male,42,27.0,S,Mr,Small
1,1,female,32,76.2917,C,Miss,Alone
0,2,male,30,10.5,S,Mr,Alone
1,3,male,16,8.05,S,Mr,Alone
0,2,male,27,13.0,S,Mr,Alone
0,3,male,51,8.05,S,Mr,Alone
0,3,male,28,7.8958,S,Mr,Alone
1,1,male,38,90.0,S,Mr,Small
0,3,male,22,9.35,S,Mr,Alone
1,2,male,19,10.5,S,Mr,Alone
0,3,male,20,7.25,S,Mr,Alone
0,2,male,18,13.0,S,Mr,Alone
0,3,female,28,25.4667,S,Miss,Large
1,1,female,35,83.475,S,Mrs,Small
0,3,male,29,7.775,S,Mr,Alone
0,2,male,59,13.5,S,Mr,Alone
1,3,female,5,31.3875,S,Miss,Large
0,2,male,24,10.5,S,Mr,Alone
0,3,female,28,7.55,S,Miss,Alone
0,2,male,44,26.0,S,Mr,Small
1,2,female,8,26.25,S,Miss,Small
0,2,male,19,10.5,S,Mr,Alone
0,2,male,33,12.275,S,Mr,Alone
0,3,female,28,14.4542,C,Miss,Small
1,3,female,28,15.5,Q,Miss,Small
0,2,male,29,10.5,S,Mr,Alone
0,3,male,22,7.125,S,Mr,Alone
0,3,male,30,7.225,C,Mr,Alone
0,1,male,44,90.0,Q,Other,Small
0,3,female,25,7.775,S,Miss,Alone
1,2,female,24,14.5,S,Mrs,Small
1,1,male,37,52.5542,S,Mr,Small
0,2,male,54,26.0,S,Other,Small
0,3,male,28,7.25,S,Mr,Alone
0,3,female,29,10.4625,S,Mrs,Small
0,1,male,62,26.55,S,Mr,Alone
0,3,male,30,16.1,S,Mr,Small
0,3,female,41,20.2125,S,Mrs,Small
1,3,female,29,15.2458,C,Mrs,Small
1,1,female,28,79.2,C,Mrs,Alone
1,1,female,30,86.5,S,Miss,Alone
1,1,female,35,512.3292,C,Miss,Alone
1,2,female,50,26.0,S,Mrs,Small
0,3,male,28,7.75,Q,Mr,Alone
1,3,male,3,31.3875,S,Master,Large
0,1,male,52,79.65,S,Mr,Small
0,1,male,40,0.0,S,Mr,Alone
0,3,female,28,7.75,Q,Miss,Alone
0,2,male,36,10.5,S,Mr,Alone
0,3,male,16,39.6875,S,Mr,Large
1,3,male,25,7.775,S,Mr,Small
1,1,female,58,153.4625,S,Mrs,Small
1,1,female,35,135.6333,S,Miss,Alone
0,1,male,28,31.0,S,Mr,Alone
1,3,male,25,0.0,S,Mr,Alone
1,2,female,41,19.5,S,Mrs,Small
0,1,male,37,29.7,C,Mr,Small
1,3,female,28,7.75,Q,Miss,Alone
1,1,female,63,77.9583,S,Miss,Small
0,3,female,45,7.75,S,Miss,Alone
0,2,male,28,0.0,S,Mr,Alone
0,3,male,7,29.125,Q,Master,Large
1,3,female,35,20.25,S,Mrs,Small
0,3,male,65,7.75,Q,Mr,Alone
0,3,male,28,7.8542,S,Mr,Alone
0,3,male,16,9.5,S,Mr,Alone
1,3,male,19,8.05,S,Mr,Alone
0,1,male,28,26.0,S,Mr,Alone
0,3,male,33,8.6625,C,Mr,Alone
1,3,male,30,9.5,S,Mr,Alone
0,3,male,22,7.8958,S,Mr,Alone
1,2,male,42,13.0,S,Mr,Alone
1,3,female,22,7.75,Q,Miss,Alone
1,1,female,26,78.85,S,Miss,Alone
1,1,female,19,91.0792,C,Mrs,Small
0,2,male,36,12.875,C,Mr,Alone
0,3,female,24,8.85,S,Miss,Alone
0,3,male,24,7.8958,S,Mr,Alone
0,1,male,28,27.7208,C,Mr,Alone
0,3,male,23,7.2292,C,Mr,Alone
0,1,female,2,151.55,S,Miss,Small
1,1,male,28,30.5,S,Mr,Alone
1,1,female,50,247.5208,C,Mrs,Small
1,3,female,28,7.75,Q,Miss,Alone
1,3,male,28,23.25,Q,Mr,Small
0,3,male,19,0.0,S,Mr,Alone
1,2,female,28,12.35,Q,Miss,Alone
0,3,male,28,8.05,S,Mr,Alone
1,1,male,0,151.55,S,Master,Small
1,1,female,28,110.8833,C,Miss,Alone
1,1,female,17,108.9,C,Mrs,Small
0,2,male,30,24.0,C,Mr,Small
1,1,female,30,56.9292,C,Miss,Alone
1,1,female,24,83.1583,C,Miss,Alone
1,1,female,18,262.375,C,Miss,Large
0,2,female,26,26.0,S,Mrs,Small
0,3,male,28,7.8958,S,Mr,Alone
0,2,male,43,26.25,S,Mr,Small
1,3,female,26,7.8542,S,Miss,Alone
1,2,female,24,26.0,S,Mrs,Small
0,2,male,54,14.0,S,Other,Alone
1,1,female,31,164.8667,S,Miss,Small
1,1,female,40,134.5,C,Mrs,Small
0,3,male,22,7.25,S,Mr,Alone
0,3,male,27,7.8958,S,Mr,Alone
1,2,female,30,12.35,Q,Miss,Alone
1,2,female,22,29.0,S,Mrs,Small
0,3,male,28,69.55,S,Mr,Large
1,1,female,36,135.6333,C,Miss,Alone
0,3,male,61,6.2375,S,Mr,Alone
1,2,female,36,13.0,S,Mrs,Alone
1,3,female,31,20.525,S,Mrs,Small
1,1,female,16,57.9792,C,Miss,Small
1,3,female,28,23.25,Q,Miss,Small
0,1,male,45,28.5,S,Mr,Alone
0,1,male,38,153.4625,S,Mr,Small
0,3,male,16,18.0,S,Mr,Small
1,1,female,28,133.65,S,Mrs,Small
0,3,male,28,7.8958,S,Mr,Alone
0,1,male,29,66.6,S,Mr,Small
1,1,female,41,134.5,C,Miss,Alone
1,3,male,45,8.05,S,Mr,Alone
0,1,male,45,35.5,S,Mr,Alone
1,2,male,2,26.0,S,Master,Small
1,1,female,24,263.0,S,Miss,Large
0,2,male,28,13.0,S,Mr,Alone
0,2,male,25,13.0,S,Mr,Alone
0,2,male,36,13.0,S,Mr,Alone
1,2,female,24,13.0,S,Miss,Alone
1,2,female,40,13.0,S,Miss,Alone
1,3,female,28,16.1,S,Mrs,Small
1,3,male,3,15.9,S,Master,Small
0,3,male,42,8.6625,S,Mr,Alone
0,3,male,23,9.225,S,Mr,Alone
0,1,male,28,35.0,S,Mr,Alone
0,3,male,15,7.2292,C,Mr,Small
0,3,male,25,17.8,S,Mr,Small
0,3,male,28,7.225,C,Mr,Alone
0,3,male,28,9.5,S,Mr,Alone
1,1,female,22,55.0,S,Miss,Small
0,2,female,38,13.0,S,Miss,Alone
1,3,female,28,7.8792,Q,Miss,Alone
1,3,female,28,7.8792,Q,Miss,Alone
0,3,male,40,27.9,S,Mr,Large
0,2,male,29,27.7208,C,Mr,Small
0,3,female,45,14.4542,C,Mrs,Small
0,3,male,35,7.05,S,Mr,Alone
0,3,male,28,15.5,Q,Mr,Small
0,3,male,30,7.25,S,Mr,Alone
1,1,female,60,75.25,C,Mrs,Small
1,3,female,28,7.2292,C,Mrs,Alone
1,3,female,28,7.75,Q,Miss,Alone
1,1,female,24,69.3,C,Mrs,Alone
1,1,male,25,55.4417,C,Mr,Small
0,3,male,18,6.4958,S,Mr,Small
0,3,male,19,8.05,S,Mr,Alone
0,1,male,22,135.6333,C,Mr,Alone
0,3,female,3,21.075,S,Miss,Large
1,1,female,28,82.1708,C,Mrs,Small
1,3,female,22,7.25,S,Miss,Alone
0,1,male,27,211.5,C,Mr,Small
0,3,male,20,4.0125,C,Mr,Alone
0,3,male,19,7.775,S,Mr,Alone
1,1,female,42,227.525,C,Miss,Alone
1,3,female,1,15.7417,C,Miss,Small
0,3,male,32,7.925,S,Mr,Alone
1,1,female,35,52.0,S,Mrs,Small
0,3,male,28,7.8958,S,Mr,Alone
0,2,male,18,73.5,S,Mr,Alone
0,3,male,1,46.9,S,Master,Large
1,2,female,36,13.0,S,Miss,Alone
0,3,male,28,7.7292,Q,Mr,Alone
1,2,female,17,12.0,C,Miss,Alone
1,1,male,36,120.0,S,Mr,Small
1,3,male,21,7.7958,S,Mr,Alone
0,3,male,28,7.925,S,Mr,Small
1,1,female,23,113.275,C,Miss,Small
1,3,female,24,16.7,S,Mrs,Small
0,3,male,22,7.7958,S,Mr,Alone
0,3,female,31,7.8542,S,Miss,Alone
0,2,male,46,26.0,S,Mr,Alone
0,2,male,23,10.5,S,Other,Alone
1,2,female,28,12.65,S,Mrs,Alone
1,3,male,39,7.925,S,Mr,Alone
0,3,male,26,8.05,S,Mr,Alone
0,3,female,21,9.825,S,Miss,Small
0,3,male,28,15.85,S,Mr,Small
0,3,female,20,8.6625,S,Miss,Alone
0,2,male,34,21.0,S,Mr,Small
0,3,male,51,7.75,S,Mr,Alone
1,2,male,3,18.75,S,Master,Small
0,3,male,21,7.775,S,Mr,Alone
0,3,female,28,25.4667,S,Miss,Large
0,3,male,28,7.8958,S,Mr,Alone
0,3,male,28,6.8583,Q,Mr,Alone
1,1,female,33,90.0,Q,Miss,Small
0,2,male,28,0.0,S,Mr,Alone
1,3,male,44,7.925,S,Mr,Alone
0,3,female,28,8.05,S,Mrs,Alone
1,2,female,34,32.5,S,Mrs,Small
1,2,female,18,13.0,S,Miss,Small
0,2,male,30,13.0,S,Mr,Alone
0,3,female,10,24.15,S,Miss,Small
0,3,male,28,7.8958,C,Mr,Alone
0,3,male,21,7.7333,Q,Mr,Alone
0,3,male,29,7.875,S,Mr,Alone
0,3,female,28,14.4,S,Mrs,Small
0,3,male,18,20.2125,S,Mr,Small
0,3,male,28,7.25,S,Mr,Alone
1,2,female,28,26.0,S,Mrs,Small
1,2,female,19,26.0,S,Miss,Alone
0,3,male,28,7.75,Q,Mr,Alone
1,3,male,32,8.05,S,Mr,Alone
1,1,male,28,26.55,S,Mr,Alone
1,3,female,28,16.1,S,Mrs,Small
1,2,female,42,26.0,S,Mrs,Small
0,3,male,17,7.125,S,Mr,Alone
0,1,male,50,55.9,S,Mr,Small
1,1,female,14,120.0,S,Miss,Small
0,3,female,21,34.375,S,Miss,Large
1,2,female,24,18.75,S,Mrs,Large
0,1,male,64,263.0,S,Mr,Large
0,2,male,31,10.5,S,Mr,Alone
1,2,female,45,26.25,S,Mrs,Small
0,3,male,20,9.5,S,Mr,Alone
0,3,male,25,7.775,S,Mr,Small
