Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family_size
1,2,female,28,13.0,S,Miss,Alone
1,3,male,28,8.1125,S,Mr,Alone
1,1,male,4,81.8583,S,Master,Small
1,2,female,13,19.5,S,Miss,Small
1,1,male,34,26.55,S,Mr,Alone
1,3,female,5,19.2583,C,Miss,Small
1,1,male,52,30.5,S,Other,Alone
0,2,male,36,27.75,S,Mr,Small
0,3,male,28,19.9667,S,Mr,Small
0,1,male,30,27.75,C,Mr,Alone
1,1,male,49,89.1042,C,Mr,Small
0,3,male,28,8.05,S,Mr,Alone
1,3,male,29,7.8958,C,Mr,Alone
0,1,male,65,26.55,S,Mr,Alone
1,1,female,28,51.8625,S,Mrs,Small
1,2,female,50,10.5,S,Miss,Alone
0,3,male,28,7.75,Q,Mr,Alone
1,1,male,48,26.55,S,Mr,Alone
0,3,male,34,8.05,S,Mr,Alone
0,1,male,47,38.5,S,Mr,Alone
0,2,male,48,13.0,S,Mr,Alone
0,3,male,28,8.05,S,Mr,Alone
0,3,male,38,7.05,S,Mr,Alone
0,2,male,28,0.0,S,Mr,Alone
0,1,male,56,26.55,S,Mr,Alone
0,3,male,28,7.725,Q,Mr,Alone
1,3,female,0,19.2583,C,Miss,Small
0,3,male,28,7.25,S,Mr,Alone
0,3,male,38,8.6625,S,Mr,Alone
1,2,female,33,27.75,S,Mrs,Small
1,2,female,23,13.7917,C,Mrs,Alone
0,3,female,22,9.8375,S,Miss,Alone
0,1,male,28,52.0,S,Mr,Alone
0,2,male,34,21.0,S,Mr,Small
0,3,male,29,7.0458,S,Mr,Small
0,3,male,22,7.5208,S,Mr,Alone
1,3,female,2,12.2875,S,Miss,Small
0,3,male,9,46.9,S,Master,Large
0,2,male,28,0.0,S,Mr,Alone
0,3,male,50,8.05,S,Mr,Alone
1,3,female,63,9.5875,S,Mrs,Alone
1,1,male,25,91.0792,C,Mr,Small
0,3,female,28,25.4667,S,Miss,Large
1,1,female,35,90.0,S,Mrs,Small
0,1,male,58,29.7,C,Mr,Alone
0,3,male,30,8.05,S,Mr,Alone
1,3,male,9,15.9,S,Master,Small
0,3,male,28,19.9667,S,Mr,Small
0,3,male,21,7.25,S,Mr,Alone
0,1,male,55,30.5,S,Mr,Alone
0,1,male,71,49.5042,C,Mr,Alone
0,3,male,21,8.05,S,Mr,Alone
0,3,male,28,14.4583,C,Mr,Alone
1,1,female,54,78.2667,C,Miss,Small
0,3,male,28,15.1,S,Mr,Alone
0,1,female,25,151.55,S,Mrs,Small
0,3,male,24,7.7958,S,Mr,Alone
0,3,male,17,8.6625,S,Mr,Alone
0,3,female,21,7.75,Q,Miss,Alone
0,3,female,28,7.6292,Q,Miss,Alone
0,3,female,37,9.5875,S,Miss,Alone
1,1,female,16,86.5,S,Miss,Alone
0,1,male,18,108.9,C,Mr,Small
1,2,female,33,26.0,S,Mrs,Small
1,1,male,28,26.55,S,Mr,Alone
0,3,male,28,22.525,S,Mr,Alone
1,3,male,26,56.4958,S,Mr,Alone
1,3,male,29,7.75,Q,Mr,Alone
0,3,male,28,8.05,S,Mr,Alone
1,1,male,36,26.2875,S,Mr,Alone
1,1,female,54,59.4,C,Mrs,Small
0,3,male,24,7.4958,S,Mr,Alone
0,1,male,47,34.0208,S,Mr,Alone
1,2,female,34,10.5,S,Mrs,Alone
0,3,male,28,24.15,Q,Mr,Alone
1,2,female,36,26.0,S,Mrs,Small
0,3,male,32,7.8958,S,Mr,Alone
1,1,female,30,93.5,S,Miss,Alone
0,3,male,22,7.8958,S,Mr,Alone
0,3,male,28,7.225,C,Mr,Alone
1,1,female,44,57.9792,C,Mrs,Small
0,3,male,28,7.2292,C,Mr,Alone
0,3,male,40,7.75,Q,Mr,Alone
1,2,female,50,10.5,S,Miss,Alone
0,1,male,28,221.7792,S,Mr,Alone
0,3,male,39,7.925,S,Mr,Alone
0,2,male,23,11.5,S,Mr,Small
1,2,female,2,26.0,S,Miss,Small
0,3,male,28,7.2292,C,Mr,Alone
0,3,male,17,7.2292,C,Mr,Small
1,3,female,28,22.3583,C,Mrs,Small
0,3,female,30,8.6625,S,Miss,Alone
1,2,female,7,26.25,S,Miss,Small
0,1,male,45,26.55,S,Other,Alone
1,1,female,30,106.425,C,Miss,Alone
0,3,male,28,14.5,S,Mr,Alone
1,1,female,22,49.5,C,Miss,Small
1,1,female,36,71.0,S,Miss,Small
0,3,female,9,31.275,S,Miss,Large
0,3,female,11,31.275,S,Miss,Large
1,2,male,32,26.0,S,Mr,Small
0,1,male,50,106.425,C,Mr,Small
0,1,male,64,26.0,S,Mr,Alone
1,2,female,19,26.0,S,Mrs,Small
1,2,male,28,13.8625,C,Mr,Alone
0,3,male,33,20.525,S,Mr,Small
1,2,male,8,36.75,S,Master,Small
1,1,male,17,110.8833,C,Mr,Small
0,2,male,27,26.0,S,Mr,Alone
0,3,male,28,7.8292,Q,Mr,Alone
1,3,male,22,7.225,C,Mr,Alone
1,3,female,22,7.775,S,Miss,Alone
0,1,male,62,26.55,S,Mr,Alone
1,1,female,48,39.6,C,Other,Small
0,1,male,28,227.525,C,Mr,Alone
1,1,female,39,79.65,S,Mrs,Small
1,3,female,36,17.4,S,Mrs,Small
0,3,male,28,7.75,Q,Mr,Alone
0,3,male,40,7.8958,S,Mr,Alone
0,2,male,28,13.5,S,Mr,Alone
0,3,male,28,8.05,S,Mr,Alone
0,3,female,28,8.05,S,Miss,Alone
0,3,male,24,24.15,S,Mr,Small
0,3,male,19,7.8958,S,Mr,Alone
0,3,female,29,21.075,S,Mrs,Large
0,3,male,28,7.2292,C,Mr,Alone
1,3,male,32,7.8542,S,Mr,Alone
1,2,male,62,10.5,S,Mr,Alone
1,1,female,53,51.4792,S,Mrs,Small
1,1,male,36,26.3875,S,Mr,Alone
1,3,female,28,7.75,Q,Miss,Alone
0,3,male,16,8.05,S,Mr,Alone
0,3,male,19,14.5,S,Mr,Alone
1,2,female,34,13.0,S,Miss,Alone
1,1,female,39,55.9,S,Mrs,Small
0,3,female,28,14.4583,C,Mrs,Small
1,3,male,32,7.925,S,Mr,Alone
1,2,female,25,30.0,S,Miss,Small
1,1,female,39,110.8833,C,Mrs,Small
0,2,male,54,26.0,S,Mr,Alone
0,1,male,36,40.125,C,Mr,Alone
0,3,male,28,8.7125,C,Mr,Alone
1,1,female,18,79.65,S,Miss,Small
0,2,male,47,15.0,S,Mr,Alone
1,1,male,60,79.2,C,Mr,Small
0,3,male,22,8.05,S,Mr,Alone
0,3,male,28,8.05,S,Mr,Alone
0,3,male,35,7.125,S,Mr,Alone
1,1,female,52,78.2667,C,Mrs,Small
0,3,male,47,7.25,S,Mr,Alone
0,3,female,28,7.75,Q,Miss,Small
0,2,male,37,26.0,S,Mr,Small
0,3,male,36,24.15,S,Mr,Small
1,2,female,28,33.0,S,Miss,Alone
0,3,male,49,0.0,S,Mr,Alone
0,3,male,28,7.225,C,Mr,Alone
1,1,male,49,56.9292,C,Other,Small
1,2,female,24,27.0,S,Mrs,Small
0,3,male,28,7.8958,S,Mr,Alone
0,1,male,28,42.4,S,Mr,Alone
0,3,male,44,8.05,S,Mr,Alone
1,1,male,35,26.55,C,Mr,Alone
0,3,male,36,15.55,S,Mr,Small
0,3,male,30,7.8958,S,Mr,Alone
1,1,male,27,30.5,S,Mr,Alone
1,2,female,22,41.5792,C,Mrs,Small
1,1,female,40,153.4625,S,Miss,Alone
0,3,female,39,31.275,S,Mrs,Large
0,3,male,28,7.05,S,Mr,Alone
1,3,female,28,15.5,Q,Miss,Small
0,3,male,28,7.75,Q,Mr,Alone
0,3,male,35,8.05,S,Mr,Alone
1,2,female,24,65.0,S,Miss,Small
0,3,male,34,14.4,S,Mr,Small
0,3,female,26,16.1,S,Mrs,Small
1,2,female,4,39.0,S,Miss,Small
0,2,male,26,10.5,S,Mr,Alone
0,3,male,27,14.4542,C,Mr,Small
1,1,male,42,52.5542,S,Mr,Small
1,3,male,20,15.7417,C,Mr,Small
0,3,male,21,7.8542,S,Mr,Alone
0,3,male,21,16.1,S,Mr,Alone
0,1,male,61,32.3208,S,Mr,Alone
0,2,male,57,12.35,Q,Other,Alone
1,1,female,21,77.9583,S,Miss,Alone
0,3,male,26,7.8958,S,Mr,Alone
0,3,male,28,7.7333,Q,Mr,Alone
1,1,male,80,30.0,S,Mr,Alone
0,3,male,51,7.0542,S,Mr,Alone
1,1,male,32,30.5,C,Other,Alone
0,1,male,28,0.0,S,Mr,Alone
0,3,female,9,27.9,S,Miss,Large
1,2,female,28,13.0,S,Miss,Alone
0,3,male,32,7.925,S,Mr,Alone
0,2,male,31,26.25,S,Mr,Small
0,3,female,41,39.6875,S,Mrs,Large
0,3,male,28,16.1,S,Mr,Small
0,3,male,20,7.8542,S,Mr,Alone
1,1,female,24,69.3,C,Miss,Alone
0,3,female,2,27.9,S,Miss,Large
1,3,male,28,56.4958,S,Mr,Alone
1,3,female,0,19.2583,C,Miss,Small
1,1,male,48,76.7292,C,Mr,Small
0,3,male,19,7.8958,S,Mr,Alone
1,1,male,56,35.5,C,Other,Alone
0,3,male,28,7.55,S,Mr,Alone
1,3,female,23,7.55,S,Miss,Alone
0,3,male,28,7.8958,S,Mr,Alone
1,2,female,18,23.0,S,Miss,Small
0,3,male,21,8.4333,S,Mr,Alone
1,3,female,28,7.8292,Q,Miss,Alone
0,3,female,18,6.75,Q,Miss,Alone
0,2,male,24,73.5,S,Mr,Small
0,3,male,28,7.8958,S,Mr,Alone
0,3,female,32,15.5,Q,Mrs,Small
0,2,male,23,13.0,S,Mr,Alone
0,1,male,58,113.275,C,Mr,Small
1,1,male,50,133.65,S,Other,Small
0,3,male,40,7.225,C,Mr,Alone
0,1,male,47,25.5875,S,Mr,Alone
0,3,male,36,7.4958,S,Mr,Alone
1,3,male,20,7.925,S,Mr,Small
0,2,male,32,73.5,S,Mr,Small
0,2,male,25,13.0,S,Mr,Alone
0,3,male,28,7.775,S,Mr,Alone
0,3,male,43,8.05,S,Mr,Alone
1,1,female,28,52.0,S,Mrs,Small
1,2,female,40,39.0,S,Mrs,Small
0,1,male,31,52.0,S,Mr,Small
0,2,male,70,10.5,S,Mr,Alone
1,2,male,31,13.0,S,Mr,Alone
0,2,male,28,0.0,S,Mr,Alone
0,3,male,18,7.775,S,Mr,Alone
0,3,male,24,8.05,S,Mr,Alone
1,3,female,18,9.8417,S,Miss,Alone
0,3,female,43,46.9,S,Mrs,Large
1,1,male,36,512.3292,C,Mr,Small
0,3,female,28,8.1375,Q,Miss,Alone
1,1,male,27,76.7292,C,Mr,Alone
0,3,male,20,9.225,S,Mr,Alone
0,3,male,14,46.9,S,Mr,Large
0,2,male,60,39.0,S,Mr,Small
0,2,male,25,41.5792,C,Mr,Small
0,3,male,14,39.6875,S,Mr,Large
0,3,male,19,10.1708,S,Mr,Alone
0,3,male,18,7.7958,S,Mr,Alone
1,1,female,15,211.3375,S,Miss,Small
1,1,male,31,57.0,S,Mr,Small
1,3,female,4,13.4167,C,Miss,Small
1,3,male,28,56.4958,S,Mr,Alone
0,3,male,25,7.225,C,Mr,Alone
0,1,male,60,26.55,S,Other,Alone
0,2,male,52,13.5,S,Mr,Alone
0,3,male,44,8.05,S,Mr,Alone
1,3,female,28,7.7333,Q,Miss,Alone
0,1,male,49,110.8833,C,Mr,Small
0,3,male,42,7.65,S,Mr,Alone
1,1,female,18,227.525,C,Mrs,Small
1,1,male,35,26.2875,S,Mr,Alone
0,3,female,18,14.4542,C,Miss,Small
0,3,male,25,7.7417,Q,Mr,Alone
0,3,male,26,7.8542,S,Mr,Small
0,2,male,39,26.0,S,Mr,Alone
1,2,female,45,13.5,S,Mrs,Alone
1,1,male,42,26.2875,S,Mr,Alone
1,1,female,22,151.55,S,Miss,Alone
1,3,male,28,15.2458,C,Master,Small
1,1,female,24,49.5042,C,Miss,Alone
0,1,male,28,26.55,S,Mr,Alone
1,1,male,48,52.0,S,Mr,Small
0,3,male,29,9.4833,S,Mr,Alone
0,2,male,52,13.0,S,Mr,Alone
0,3,male,19,7.65,S,Mr,Alone
1,1,female,38,227.525,C,Miss,Alone
1,2,female,27,10.5,S,Miss,Alone
0,3,male,28,15.5,Q,Mr,Alone
0,3,male,33,7.775,S,Mr,Alone
1,2,female,6,33.0,S,Miss,Small
0,3,male,17,7.0542,S,Mr,Small
0,2,male,34,13.0,S,Mr,Alone
0,2,male,50,13.0,S,Mr,Alone
1,1,male,27,53.1,S,Mr,Small
0,3,male,20,8.6625,S,Mr,Alone
1,2,female,30,21.0,S,Mrs,Small
1,3,female,28,7.7375,Q,Miss,Alone
0,2,male,25,26.0,S,Mr,Small
0,3,female,25,7.925,S,Miss,Small
1,1,female,29,211.3375,S,Miss,Alone
0,3,male,11,18.7875,C,Mr,Alone
0,2,male,28,0.0,S,Mr,Alone
0,2,male,23,13.0,S,Mr,Alone
0,2,male,23,13.0,S,Mr,Alone
0,3,male,28,16.1,S,Mr,Alone
0,3,female,48,34.375,S,Mrs,Large
1,1,male,35,512.3292,C,Mr,Alone
0,3,male,28,7.8958,S,Mr,Alone
0,3,male,28,7.8958,S,Mr,Alone
1,1,male,28,30.0,S,Mr,Alone
0,1,male,36,78.85,S,Mr,Small
1,1,female,21,262.375,C,Miss,Large
0,3,male,24,16.1,S,Mr,Small
1,3,male,31,7.925,S,Mr,Alone
0,1,male,70,71.0,S,Other,Small
0,3,male,16,20.25,S,Mr,Small
1,2,female,30,13.0,S,Miss,Alone
0,1,male,19,53.1,S,Mr,Small
0,3,male,31,7.75,Q,Mr,Alone
1,2,female,4,23.0,S,Miss,Small
1,3,male,6,12.475,S,Master,Small
0,3,male,33,9.5,S,Mr,Alone
0,3,male,23,7.8958,S,Mr,Alone
1,2,female,48,65.0,S,Mrs,Small
1,2,male,0,14.5,S,Master,Small
0,3,male,28,7.7958,S,Mr,Alone
0,2,male,18,11.5,S,Mr,Alone
0,3,male,34,8.05,S,Mr,Alone
1,1,female,33,86.5,S,Other,Alone
0,3,male,28,14.5,S,Mr,Alone
0,3,male,41,7.125,S,Mr,Alone
1,3,male,20,7.2292,C,Mr,Alone
1,1,female,36,120.0,S,Mrs,Small
0,3,male,16,7.775,S,Mr,Alone
1,1,female,51,77.9583,S,Mrs,Small
0,1,male,28,39.6,C,Other,Alone
0,3,female,30,7.75,Q,Miss,Alone
0,3,male,28,24.15,Q,Mr,Small
0,3,male,32,8.3625,S,Mr,Alone
0,3,male,24,9.5,S,Mr,Alone
0,3,male,48,7.8542,S,Mr,Alone
0,2,female,57,10.5,S,Mrs,Alone
0,3,male,28,7.225,C,Mr,Alone
1,2,female,54,23.0,S,Mrs,Large
0,3,male,18,7.75,S,Mr,Alone
0,3,male,28,7.75,Q,Mr,Alone
1,3,female,5,12.475,S,Miss,Alone
0,3,male,28,7.7375,Q,Mr,Alone
1,1,female,43,211.3375,S,Mrs,Small
1,3,female,13,7.2292,C,Miss,Alone
1,1,female,17,57.0,S,Mrs,Small
0,1,male,29,30.0,S,Mr,Alone
0,3,male,28,23.45,S,Mr,Small
0,3,male,25,7.05,S,Mr,Alone
0,3,male,25,7.25,S,Mr,Alone
1,3,female,18,7.4958,S,Miss,Alone
0,3,male,8,29.125,Q,Master,Large
1,3,male,1,20.575,S,Master,Small
0,1,male,46,79.2,C,Mr,Alone
0,3,male,28,7.75,Q,Mr,Alone
0,2,male,16,26.0,S,Mr,Alone
0,3,female,28,69.55,S,Miss,Large
0,1,male,28,30.6958,C,Mr,Alone
0,3,male,25,7.8958,S,Mr,Alone
0,2,male,39,13.0,S,Mr,Alone
1,1,female,49,25.9292,S,Other,Alone
1,3,female,31,8.6833,S,Mrs,Alone
0,3,male,30,7.2292,C,Mr,Alone
0,3,female,30,24.15,S,Mrs,Small
0,2,male,34,13.0,S,Mr,Alone
1,2,female,31,26.25,S,Mrs,Small
1,1,male,11,120.0,S,Master,Small
1,3,male,0,8.5167,C,Master,Small
1,3,male,27,6.975,S,Mr,Alone
0,3,male,31,7.775,S,Mr,Alone
0,1,male,39,0.0,S,Mr,Alone
0,3,female,18,7.775,S,Miss,Alone
0,2,male,39,13.0,S,Mr,Alone
1,1,female,33,53.1,S,Mrs,Small
0,3,male,26,7.8875,S,Mr,Alone
0,3,male,39,24.15,S,Mr,Alone
0,2,male,35,10.5,S,Mr,Alone
0,3,female,6,31.275,S,Miss,Large
0,3,male,30,8.05,S,Mr,Alone
0,1,male,28,0.0,S,Mr,Alone
0,3,female,23,7.925,S,Miss,Alone
0,2,male,31,37.0042,C,Mr,Small
0,3,male,43,6.45,S,Mr,Alone
0,3,male,10,27.9,S,Master,Large
1,1,female,52,93.5,S,Mrs,Small
1,3,male,27,8.6625,S,Mr,Alone
0,1,male,38,0.0,S,Other,Alone
1,3,female,27,12.475,S,Mrs,Small
0,3,male,2,39.6875,S,Master,Large
0,3,male,28,6.95,Q,Mr,Alone
0,3,male,28,56.4958,S,Mr,Alone
1,2,male,1,37.0042,C,Master,Small
1,3,male,28,7.75,Q,Mr,Alone
1,1,female,62,80.0,S,Mrs,Alone
1,3,female,15,14.4542,C,Mrs,Small
1,2,male,0,18.75,S,Master,Small
0,3,male,28,7.2292,C,Mr,Alone
0,3,male,23,7.8542,S,Mr,Alone
0,3,male,18,8.3,S,Mr,Alone
1,1,female,39,83.1583,C,Miss,Small
0,3,male,21,8.6625,S,Mr,Alone
0,3,male,28,8.05,S,Mr,Alone
1,3,male,32,56.4958,S,Mr,Alone
1,1,male,28,29.7,C,Mr,Alone
0,3,male,20,7.925,S,Mr,Alone
0,2,male,16,10.5,S,Mr,Alone
1,1,female,30,31.0,C,Miss,Alone
0,3,male,34,6.4375,C,Mr,Alone
0,3,male,17,8.6625,S,Mr,Alone
0,3,male,42,7.55,S,Mr,Alone
0,3,male,28,69.55,S,Mr,Large
0,3,male,35,7.8958,C,Mr,Alone
0,2,male,28,33.0,S,Other,Small
1,1,female,28,89.1042,C,Mrs,Small
0,3,male,4,31.275,S,Master,Large
0,3,male,74,7.775,S,Mr,Alone
0,3,female,9,15.2458,C,Miss,Small
1,1,female,16,39.4,S,Miss,Small
0,2,female,44,26.0,S,Mrs,Small
1,3,female,18,9.35,S,Mrs,Small
1,1,female,45,164.8667,S,Mrs,Small
1,1,male,51,26.55,S,Mr,Alone
1,3,female,24,19.2583,C,Mrs,Small
0,3,male,28,7.2292,C,Mr,Alone
0,3,male,41,14.1083,S,Mr,Small
0,2,male,21,11.5,S,Mr,Small
1,1,female,48,25.9292,S,Mrs,Alone
0,3,female,28,69.55,S,Miss,Large
0,2,male,24,13.0,S,Mr,Alone
1,2,female,42,13.0,S,Mrs,Alone
1,2,female,27,13.8583,C,Miss,Small
0,1,male,31,50.4958,S,Mr,Alone
0,3,male,28,9.5,S,Mr,Alone
1,3,male,4,11.1333,S,Master,Small
0,3,male,26,7.8958,S,Mr,Alone
1,1,female,47,52.5542,S,Mrs,Small
0,1,male,33,5.0,S,Mr,Alone
0,3,male,47,9.0,S,Mr,Alone
1,2,female,28,24.0,C,Mrs,Small
1,3,female,15,7.225,C,Miss,Alone
0,3,male,20,9.8458,S,Mr,Alone
0,3,male,19,7.8958,S,Mr,Alone
0,3,male,28,7.8958,S,Mr,Alone
1,1,female,56,83.1583,C,Mrs,Small
1,2,female,25,26.0,S,Mrs,Small
0,3,male,33,7.8958,S,Mr,Alone
0,3,female,22,10.5167,S,Miss,Alone
0,2,male,28,10.5,S,Mr,Alone
0,3,male,25,7.05,S,Mr,Alone
0,3,female,39,29.125,Q,Mrs,Large
0,2,male,27,13.0,S,Other,Alone
1,1,female,19,30.0,S,Miss,Alone
0,3,female,28,23.45,S,Miss,Small
1,1,male,26,30.0,C,Mr,Alone
0,3,male,32,7.75,Q,Mr,Alone
